,,,,,,,,,,,,,,,,
,New ONS Code,Old ONS Code,Local Authority,Region,"2017 Rough Sleeping Rate per 1,000 households",RS-Female,RS-Male,RS-Unknown,RS-Under 18,RS-18-25,RS-Over 25,RS-Unknown,RS-UK,RS-EU,RS-non-EU,RS-Unknown
,E08000007,00BS,Stockport,NW,0.08,1,9,0,0,1,9,0,10,0,0,0
,E06000004,00EF,Stockton-on-Tees,NE,0.02,0,2,0,0,0,2,0,2,0,0,0
,E06000021,00GL,Stoke-on-Trent,WM,0.17,2,17,0,0,0,19,0,19,0,0,0
,E07000221,44UE,Stratford-on-Avon,WM,0.31,1,16,0,0,2,15,0,15,1,1,0
,E07000082,23UF,Stroud,SW,0.04,0,2,0,0,0,2,0,2,0,0,0
,E07000205,42UG,Suffolk Coastal,EE,0.05,2,1,0,0,0,3,0,2,1,0,0
,E08000024,00CM,Sunderland,NE,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000214,43UJ,Surrey Heath,SE,0.14,2,3,0,0,0,5,0,5,0,0,0
,E09000029,00BF,Sutton,L,0.04,0,3,0,0,0,3,0,3,0,0,0
,E07000113,29UM,Swale,SE,0.15,2,7,0,0,0,7,2,8,1,0,0
,E06000030,00HX,Swindon,SW,0.49,7,38,0,0,4,37,4,39,2,0,4
,E08000008,00BT,Tameside,NW,0.44,4,39,0,0,4,30,9,34,4,0,5
,E07000199,41UK,Tamworth,WM,0.12,0,4,0,0,1,2,1,4,0,0,0
,E07000215,43UK,Tandridge,SE,0.06,0,2,0,0,0,2,0,2,0,0,0
,E07000190,40UE,Taunton Deane,SW,0.46,1,22,0,0,1,22,0,22,1,0,0
,E07000045,18UH,Teignbridge,SW,0.05,0,3,0,0,0,3,0,3,0,0,0
,E06000020,00GF,Telford and Wrekin,WM,0.14,0,10,0,0,3,7,0,10,0,0,0
,E07000076,22UN,Tendring,EE,0.09,2,4,0,0,0,6,0,6,0,0,0
,E07000093,24UN,Test Valley,SE,0.04,0,2,0,0,0,2,0,2,0,0,0
,E07000083,23UG,Tewkesbury,SW,0.05,0,2,0,0,0,2,0,2,0,0,0
,E07000114,29UN,Thanet,SE,0.73,11,35,0,0,3,43,0,45,1,0,0
,E07000102,26UJ,Three Rivers,EE,0.05,0,2,0,0,0,2,0,2,0,0,0
,E06000034,00KG,Thurrock,EE,0.14,2,7,0,0,1,8,0,5,4,0,0
